time_ms,ax,ay,az,gx,gy,gz
1639,-0.6617,0.9996,0.673,-2.25,-1.2469,-1.4869
1651,-0.6573,0.9944,0.6679,0.0706,-1.1553,-1.1968
1693,-0.6588,0.99,0.6713,3.1851,-0.4835,2.2231
1705,-0.6532,1.0054,0.674,4.0706,-0.453,2.62
1719,-0.6705,1.0044,0.6842,3.0477,-0.4835,2.2078
1732,-0.6612,1.0035,0.6754,2.4523,-0.5598,2.7269
1744,-0.6617,0.9998,0.6708,1.4752,-0.8805,3.0322
1758,-0.6568,1.0015,0.6686,1.582,-0.3919,3.0933
1799,-0.6625,1.0113,0.674,2.3912,-0.0102,0.849
1812,-0.6659,1.012,0.6794,2.4828,-0.6515,-0.7388
1825,-0.6561,1.011,0.6676,-0.4332,-1.0026,-1.5327
1838,-0.6568,0.9998,0.675,-2.9981,-1.1553,-1.6548
1851,-0.6666,0.9983,0.6718,-0.6928,-0.514,0.7269
1864,-0.6629,1.0047,0.6769,0.0706,-0.1629,1.704
1905,-0.6629,1.0061,0.6754,1.8721,0.3256,1.2765
1917,-0.6615,1.0101,0.6737,0.9866,-0.2545,0.8795
1930,-0.6505,0.9966,0.6855,-1.3493,0.173,0.4063
1944,-0.6561,0.9998,0.6725,0.1927,0.234,0.849
1956,-0.659,1.0083,0.6781,-1.0592,-0.7889,-0.464
1969,-0.6571,1.0103,0.6733,-2.4943,-0.8347,-0.6166
2009,-0.6622,1.001,0.6823,1.2614,0.2646,2.1162
2022,-0.6534,1.0027,0.6745,2.0859,0.5547,3.078
2036,-0.6593,1.0076,0.6784,2.2996,0.9058,2.9253
2048,-0.6612,1.0066,0.6806,-0.2195,0.4173,2.4979
2062,-0.6598,0.9974,0.6791,4.0706,1.1501,4.0246
2074,-0.6615,1.0057,0.6706,6.6355,1.5318,5.4139
2115,-0.6571,1.0132,0.6764,-1.0592,-0.6515,-2.5861
2129,-0.6581,1.0091,0.6774,-0.8149,-0.4072,-2.6166
2142,-0.6573,1.0005,0.6813,0.5897,0.2493,-0.525
2155,-0.6542,1.0059,0.673,0.3912,-0.1934,0.9406
2168,-0.6588,1.0066,0.6801,1.0172,0.0508,1.7803
